排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio
182,生活用纸,BK1495,1120.08,-2.55,-0.23,51822988000,1.16,2,7,洁雅股份,9.55,9,0.222
183,粘胶,BK1416,1404.75,-3.35,-0.24,21609623000,3.69,1,2,ST海龙,4.94,3,0.333
184,半导体设备,BK1326,62736.75,-149.67,-0.24,2482871536000,4.18,12,9,京仪装备,5.8,21,0.571
185,其他电源设备Ⅲ,BK1322,9773.62,-24.04,-0.25,518050304000,2.76,9,17,海博思创,6.75,26,0.346
186,基建市政工程,BK1472,1965.78,-4.92,-0.25,717012448000,0.59,11,16,交建股份,10.09,27,0.407
187,普钢,BK1226,714.83,-1.85,-0.26,492879456000,0.68,10,8,南钢股份,1.91,18,0.556
188,涤纶,BK1413,1597.88,-4.19,-0.26,77154787000,1.72,4,6,*ST三房,6.06,10,0.4
189,大宗用纸,BK1544,1899.6,-5.33,-0.28,87118553000,1.81,4,8,太阳纸业,4.04,12,0.333
190,环境治理,BK1235,2370.65,-6.76,-0.28,752901248000,1.85,51,53,中持股份,10.04,104,0.49
191,涂料,BK1469,934.37,-2.74,-0.29,24268429000,1.38,1,1,三棵树,0.85,2,0.5
192,汽车经销商,BK1523,1291.37,-3.99,-0.31,17964620000,0.63,2,3,国机汽车,2.81,5,0.4
193,多元金融,BK0738,562.56,-1.75,-0.31,504404048000,0.76,11,14,渤海租赁,3.4,25,0.44
194,半导体,BK1036,3479.47,-11.05,-0.32,13867743488000,5.44,69,107,盛景微,10.0,176,0.392
195,医疗设备,BK1605,5781.88,-18.62,-0.32,564708416000,2.18,16,25,瑞迈特,6.88,41,0.39
196,纺织制造,BK1224,2555.76,-8.27,-0.32,187625311000,1.97,15,16,华孚时尚,9.97,31,0.484
197,其他通用设备,BK1398,6211.0,-20.45,-0.33,478459568000,5.07,17,38,宏盛股份,10.0,55,0.309
198,美容护理,BK1035,879.14,-3.01,-0.34,253790546000,1.35,12,20,洁雅股份,9.55,32,0.375
199,其他家电Ⅲ,BK1456,1105.89,-3.8,-0.34,9737547000,1.3,2,1,荣泰健康,1.11,3,0.667
200,其他家电Ⅱ,BK1243,1105.89,-3.8,-0.34,9737547000,1.3,2,1,荣泰健康,1.11,3,0.667
201,美容护理,BK1035,879.1,-3.05,-0.35,253772650000,1.35,12,20,洁雅股份,9.55,32,0.375
202,种植业,BK1261,2169.53,-7.96,-0.37,127529220000,1.8,10,10,康农种业,2.09,20,0.5
